[1/1] 01_300777_中简科技_2026-07-02.pdf  清洗文本≈145873字, 表格=37张, 切块≈223
   块136: 生成 3 对 (累计 375)
   块137: 生成 3 对 (累计 378)
   块138: 生成 3 对 (累计 381)
   块139: 生成 3 对 (累计 384)
   块140: 生成 3 对 (累计 387)
   块141: 生成 3 对 (累计 390)
   块142: 生成 3 对 (累计 393)
   块143: 生成 3 对 (累计 396)
   块144: 生成 3 对 (累计 399)
   块145: 生成 2 对 (累计 401)
   块146: 生成 2 对 (累计 403)
   块147: 生成 3 对 (累计 406)
   块148: 生成 3 对 (累计 409)
   块149: 生成 3 对 (累计 412)
   块150: 生成 3 对 (累计 415)
   块151: 生成 3 对 (累计 418)
   块152: 生成 3 对 (累计 421)
   块153: 生成 3 对 (累计 424)
   块154: 生成 3 对 (累计 427)
   块155: 生成 3 对 (累计 430)
   块156: 生成 3 对 (累计 433)
   块157: 生成 3 对 (累计 436)
   块158: 生成 3 对 (累计 439)
   块159: 生成 3 对 (累计 442)
   块160: 生成 3 对 (累计 445)
   块161: 生成 3 对 (累计 448)
   块162: 生成 3 对 (累计 451)
   块163: 生成 3 对 (累计 454)
   块164: 生成 3 对 (累计 457)
   块165: 生成 3 对 (累计 460)
   块166: 生成 3 对 (累计 463)
   块167: 生成 3 对 (累计 466)
   块168: 生成 3 对 (累计 469)
   块169: 生成 2 对 (累计 471)
   块170: 生成 3 对 (累计 474)
   块171: 生成 3 对 (累计 477)
   块172: 生成 3 对 (累计 480)
   块173: 生成 3 对 (累计 483)
   块174: 生成 3 对 (累计 486)
   块175: 生成 3 对 (累计 489)
   块176: 生成 2 对 (累计 491)
   块177: 生成 3 对 (累计 494)
   块178: 生成 3 对 (累计 497)
   块179: 生成 3 对 (累计 500)
   块180: 生成 3 对 (累计 503)
   块181: 生成 3 对 (累计 506)
   块182: 生成 3 对 (累计 509)
   块183: 生成 3 对 (累计 512)
   块184: 生成 3 对 (累计 515)
   块185: 生成 2 对 (累计 517)
   块186: 生成 3 对 (累计 520)
   块187: 生成 3 对 (累计 523)
   块188: 生成 2 对 (累计 525)
   块189: 生成 3 对 (累计 528)
   块190: 生成 3 对 (累计 531)
   块191: 生成 3 对 (累计 534)
   块192: 生成 3 对 (累计 537)
   块193: 生成 3 对 (累计 540)
   块194: 生成 3 对 (累计 543)
   块195: 生成 3 对 (累计 546)
   块196: 生成 3 对 (累计 549)
   块197: 生成 3 对 (累计 552)
   块198: 生成 3 对 (累计 555)
   块199: 生成 3 对 (累计 558)
   块200: 生成 3 对 (累计 561)
   块201: 生成 3 对 (累计 564)
   块202: 生成 3 对 (累计 567)
   块203: 生成 3 对 (累计 570)
   块204: 生成 3 对 (累计 573)
   块205: 生成 3 对 (累计 576)
   块206: 生成 3 对 (累计 579)
   块207: 生成 3 对 (累计 582)
   块208: 生成 2 对 (累计 584)
   块209: 生成 2 对 (累计 586)
   块210: 生成 3 对 (累计 589)
   块211: 生成 3 对 (累计 592)
   块212: 生成 3 对 (累计 595)
   块213: 生成 3 对 (累计 598)
   块214: 生成 3 对 (累计 601)
   块215: 生成 3 对 (累计 604)
   块216: 生成 3 对 (累计 607)
   块217: 生成 2 对 (累计 609)
   块218: 生成 3 对 (累计 612)
   块219: 生成 3 对 (累计 615)
   块220: 生成 3 对 (累计 618)
   块221: 生成 3 对 (累计 621)
   块222: 生成 2 对 (累计 623)
   块223: 生成 3 对 (累计 626)

完成: QA对=626  进 RAG 块=223
  -> qa_alpaca.json / qa_sharegpt.json / rag_chunks.json
